47496;2000973;80528;RLS Basic
12096;2001911;20138;Full Res (Amelia NSW)
16583;2001917;26914;Full Res (Amelia NSW)
13061;2001285;21644;RLS Basic
13034;2001915;21638;Full Res (Amelia NSW)
12092;2001911;20138;Full Res (Amelia NSW)
9523;2000925;15565;Full Res (Amelia NSW)
52682;2001912;89874;RLS Basic
31352;2001918;50782;Full Res (Amelia NSW)
31355;2001918;50782;Full Res (Amelia NSW)
663;2001914;1098;RLS Basic
52688;2001912;89874;RLS Basic
22605;2000961;37068;RLS Basic
12102;2001911;20138;RLS Basic
52689;2001912;89874;Full Res (Amelia NSW)
52690;2001912;89874;RLS Basic
52686;2001912;89874;Full Res (Amelia NSW)
44778;2001047;75443;Full Res (Amelia NSW)
44768;2001047;75443;RLS Basic
54501;2000986;93803;RLS Basic
9522;2000925;15565;RLS Basic
31344;2001918;50782;RLS Basic
31486;2001922;51015;RLS Basic
51727;2001223;88264;RLS Basic
665;2001914;1098;RLS Basic
47484;2000973;80528;RLS Basic
16578;2001917;26914;RLS Basic
52685;2001912;89874;RLS Basic
60339;2001352;105730;RLS Basic
33961;2001263;55495;RLS Basic
42112;2001921;70908;RLS Basic
20096;2001916;32739;RLS Basic
52413;2001048;89531;RLS Basic
44769;2001047;75443;Full Res (Amelia NSW)
12094;2001911;20138;RLS Basic
6118;2001923;9968;RLS Basic
48932;2000996;83208;RLS Basic
16579;2001917;26914;Full Res (Amelia NSW)
12100;2001911;20138;RLS Basic
23228;2000906;37923;RLS Basic
25808;2001222;41902;RLS Basic
19884;2001932;32553;RLS Basic
47487;2000973;80528;RLS Basic
29372;2001183;47389;RLS Basic
44774;2001047;75443;RLS Basic
20100;2001916;32739;Full Res (Amelia NSW)
9526;2000925;15565;RLS Basic
44999;2001910;75822;RLS Basic
52696;2001912;89874;Full Res (Amelia NSW)
47485;2000973;80528;RLS Basic
31350;2001918;50782;Full Res (Amelia NSW)
9519;2000925;15565;RLS Basic
22604;2000961;37068;RLS Basic
42114;2001921;70908;RLS Basic
13049;2001285;21644;RLS Basic
12090;2001911;20138;RLS Basic
23223;2000906;37923;RLS Basic
23230;2000906;37923;RLS Basic
42893;2001299;72120;RLS Basic
9527;2000925;15565;RLS Basic
22613;2000961;37068;RLS Basic
52687;2001912;89874;RLS Basic
40578;2001353;67940;RLS Basic
45003;2001910;75822;RLS Basic
16573;2001917;26914;RLS Basic
31343;2001918;50782;RLS Basic
22601;2000961;37068;RLS Basic
10797;2001909;17830;RLS Basic
42896;2001299;72120;RLS Basic
10291;2001182;16890;RLS Basic
2504;2001286;4162;RLS Basic
27246;2001927;43801;RLS Basic
34580;2001221;56490;RLS Basic
52406;2001048;89531;RLS Basic
34589;2001221;56490;RLS Basic
52695;2001912;89874;Full Res (Amelia NSW)
13031;2001915;21638;RLS Basic
9524;2000925;15565;RLS Basic
33963;2001263;55495;RLS Basic
44767;2001047;75443;Full Res (Amelia NSW)
10288;2001182;16890;RLS Basic
34585;2001221;56490;RLS Basic
20094;2001916;32739;RLS Basic
2355;2001262;3935;Full Res (Amelia NSW)
62313;2000959;109705;RLS Basic
54510;2001245;93825;RLS Basic
10795;2001909;17830;RLS Basic
657;2001914;1098;RLS Basic
14673;2001300;24209;RLS Basic
13040;2001915;21638;Full Res (Amelia NSW)
42891;2001299;72120;RLS Basic
2501;2001286;4162;RLS Basic
56513;2001930;97829;RLS Basic
51722;2001223;88264;RLS Basic
13052;2001285;21644;RLS Basic
40580;2001353;67940;RLS Basic
2345;2001262;3935;RLS Basic
31483;2001922;51015;RLS Basic
2350;2001262;3935;RLS Basic
52987;2001797;90428;RLS Basic
44771;2001047;75443;Full Res (Amelia NSW)
13041;2001915;21638;Full Res (Amelia NSW)
20098;2001916;32739;Full Res (Amelia NSW)
2357;2001262;3935;Full Res (Amelia NSW)
13042;2001915;21638;RLS Basic
2499;2001286;4162;RLS Basic
8506;2001919;13968;RLS Basic
52989;2001797;90428;RLS Basic
